year,country,valuenormal,valueoffensive,valueNegative,valueNeutral,valuePositive,total_unemployment,real_gdp_r,immigration_flow,asylum_applications,total_population,EU_migrant_stock,NonEU_migrant_stock,share_offensive,share_negative,share_positive,asyl_per100k,immigrationflow_per100k,total_migrant_stock,migrant_stock_per100k,nonEU_stock_per100k,iso3n
2013,Austria,405,98,225,235,43,5.6999998,0,101866,,8451860,,,.19483101,.44731611,.085487075,,1205.2495,,,,40
2014,Austria,580,165,431,228,86,6,.699999988079071,116262,25700,8507786,518670,539292,.22147651,.57852352,.11543624,302.07623,1366.5365,1057962,12435.221,6338.8052,40
2015,Austria,3408,908,2173,1716,427,6.0999999,1,166323,85520,8584926,570298,566370,.21037999,.50347543,.098934196,996.16467,1937.3842,1136668,13240.277,6597.2612,40
2016,Austria,2281,557,1472,1051,315,6.5,2,129509,39905,8700471,616401,639645,.19626498,.51867515,.11099366,458.65332,1488.5286,1256046,14436.528,7351.8433,40
2017,Austria,1584,284,1018,632,218,5.9000001,2.299999952316284,111801,22470,8772865,655524,673207,.15203427,.54496789,.11670236,256.13071,1274.3955,1328731,15145.919,7673.7417,40
2018,Austria,1696,524,1226,756,238,5.1999998,2.5,105633,11610,8822267,693855,687452,.23603603,.55225223,.10720721,131.59883,1197.3453,1381307,15657.053,7792.2373,40
2019,Austria,1332,365,907,619,171,4.8000002,1.5,109167,11010,8858775,730209,692473,.21508545,.53447258,.10076606,124.28355,1232.3036,1422682,16059.579,7816.8032,40
2020,Austria,1128,341,817,517,135,6,-6.699999809265137,,13415,,768597,700601,.23213071,.55616063,.091899253,,,1469198,,,40
2013,Belgium,791,75,406,253,207,8.3999996,.5,120078,12080,11137974,,,.086605079,.46882218,.23903002,108.45779,1078.0956,,,,56
2014,Belgium,1340,135,652,488,335,8.5,1.600000023841858,123158,14130,11180840,826938,410127,.091525421,.44203389,.22711864,126.37691,1101.5094,1237065,11064.15,3668.1233,56
