year,country_code,valuenormal,valueoffensive,valuehate,valueNegative,valueNeutral,valuePositive,country,total_unemployment,real_gdp_r,immigration_flow,asylum_applications,total_population,EU_migrant_stock,NonEU_migrant_stock,share_offensive,share_negative,share_positive,asyl_per100k,immigrationflow_per100k,total_migrant_stock,migrant_stock_per100k,nonEU_stock_per100k,iso3n
2013,AT,313,4,22,22,186,131,Austria,5.6999998,0.0,101866.0,,8451860.0,,,0.19483101,0.44731611,0.085487075,,1205.2495,,,,40
2013,CH,581,5,21,45,405,157,Switzerland,4.8000002,1.799999952316284,160157.0,19440.0,8039060.0,,,0.075427681,0.57465005,0.17807154,241.81932,1992.2354,,,,756
2013,DE,1628,18,76,166,1134,422,Germany,5.1999998,0.4000000059604645,692713.0,109580.0,80523746.0,,,0.24741936,0.59483874,0.10032258,136.08408,860.25928,,,,276
2013,ES,1135,15,77,139,737,351,Spain,26.1,-1.399999976158142,280772.0,4290.0,46727890.0,,,0.18475959,0.56872314,0.15375233,9.1808128,600.86597,,,,724
2013,FR,1676,8,71,127,1046,582,France,10.3,0.6000000238418579,338752.0,60475.0,65600350.0,,,0.062572151,0.58785498,0.23504964,92.187012,516.38751,,,,250
2013,GB,15256,405,2521,3793,10093,4296,United Kingdom,7.5,2.200000047683716,526046.0,29875.0,63905342.0,,,0.06070333,0.43391111,0.22997361,46.748829,823.16437,,,,826
2013,HU,139,2,8,9,93,47,Hungary,9.8000002,1.799999952316284,38968.0,18570.0,9908798.0,,,0.11619718,0.42605633,0.18661971,187.40921,393.26666,,,,348
2013,IT,2801,29,133,374,1907,682,Italy,12.2,-1.799999952316284,307454.0,25720.0,59685227.0,,,0.30367294,0.64626145,0.14658941,43.092739,515.12579,,,,380
2013,NL,1047,13,41,96,701,304,Netherlands,7.3000002,-0.1000000014901161,129428.0,9840.0,16779575.0,,,0.17152962,0.41821396,0.21927498,58.642723,771.34253,,,,528
2013,PL,213,5,8,14,155,57,Poland,10.3,1.100000023841858,220311.0,13975.0,38062535.0,,,0.40082645,0.40495867,0.072314046,36.715893,578.81323,,,,616
2013,SE,572,9,29,75,383,152,Sweden,8.1000004,1.200000047683716,115845.0,49355.0,9555893.0,,,0.4371345,0.49122807,0.21564327,516.48755,1212.2886,,,,752
2014,AT,559,5,22,43,301,242,Austria,6.0,0.699999988079071,116262.0,25700.0,8507786.0,518670.0,539292.0,0.22147651,0.57852352,0.11543624,302.07623,1366.5365,1057962.0,12435.221,6338.8052,40
2014,CH,1381,10,45,132,972,332,Switzerland,4.9000001,2.400000095367432,156282.0,22130.0,8139631.0,1272880.0,663337.0,0.11111111,0.58173358,0.16521233,271.87964,1920.0133,1936217.0,23787.527,8149.4727,756
2014,DE,2238,34,112,239,1449,696,Germany,5.0,2.200000047683716,884893.0,173070.0,80767463.0,3179670.0,3826401.0,0.25283545,0.55225962,0.10207643,214.28183,1095.6058,7006071.0,8674.373,4737.5527,276
2014,ES,2151,38,112,219,1379,703,Spain,24.5,1.399999976158142,305454.0,5460.0,46512199.0,1991093.0,2685348.0,0.181788,0.55989045,0.16605794,11.738856,656.71802,4676441.0,10054.225,5773.4272,724
2014,FR,2888,22,124,284,1723,1027,France,10.3,1.0,340383.0,58845.0,66165980.0,1466185.0,2761041.0,0.073354907,0.60877383,0.21682848,88.935432,514.43811,4227226.0,6388.8208,4172.9014,250
2014,GB,31754,763,4945,8752,21318,7392,United Kingdom,6.0999999,2.900000095367432,631991.0,32345.0,64351203.0,2624313.0,2425088.0,0.059300136,0.40625411,0.23790129,50.263241,982.09662,5049401.0,7846.6304,3768.52,826
2014,HU,310,4,13,19,206,102,Hungary,7.5,4.199999809265137,54581.0,41215.0,9877365.0,80817.0,59335.0,0.13438046,0.42582896,0.18499127,417.26715,552.58667,140152.0,1418.9209,600.71692,348
2014,IT,2699,31,137,193,1717,957,Italy,12.7,0.0,277631.0,63655.0,60782668.0,1441706.0,3479566.0,0.31015012,0.66953588,0.1329018,104.72558,456.76013,4921272.0,8096.5054,5724.6021,380
2014,NL,1548,17,78,166,1064,413,Netherlands,7.4000001,1.399999976158142,145323.0,21810.0,16829289.0,403028.0,330382.0,0.16731708,0.43853658,0.21170732,129.59549,863.51239,733410.0,4357.938,1963.137,528
2014,PL,335,5,42,50,235,97,Poland,9.0,3.400000095367432,222275.0,5610.0,38017856.0,27710.0,71543.0,0.42222223,0.43742689,0.095906436,14.756224,584.65948,99253.0,261.06943,188.18263,616
2014,SE,1148,16,57,214,766,241,Sweden,8.0,2.700000047683716,126966.0,75090.0,9644864.0,289225.0,384947.0,0.453136,0.52219874,0.20331219,778.54907,1316.4105,674172.0,6989.9585,3991.2124,752
2015,AT,708,7,21,38,464,234,Austria,6.0999999,1.0,166323.0,85520.0,8584926.0,570298.0,566370.0,0.21037999,0.50347543,0.098934196,996.16467,1937.3842,1136668.0,13240.277,6597.2612,40
2015,CH,981,4,19,57,634,313,Switzerland,4.8000002,1.700000047683716,153627.0,38120.0,8237666.0,1322845.0,674074.0,0.13368283,0.59239841,0.14023592,462.75244,1864.9336,1996919.0,24241.32,8182.8276,756
2015,DE,3060,33,99,309,2160,723,Germany,4.5999999,1.5,1571047.0,441900.0,81197537.0,3475492.0,4055321.0,0.25618336,0.51323652,0.094660014,544.22833,1934.8456,7530813.0,9274.6816,4994.3892,276
2015,ES,2405,48,94,145,1564,838,Spain,22.1,3.799999952316284,342114.0,14610.0,46449565.0,1948413.0,2505196.0,0.19667989,0.56308752,0.16032712,31.45347,736.52789,4453609.0,9588.0527,5393.3682,724
2015,FR,3000,23,98,206,1876,1039,France,10.3,1.100000023841858,364221.0,70570.0,66458153.0,1499227.0,2932149.0,0.077071294,0.64943266,0.19321345,106.18712,548.04565,4431376.0,6667.9194,4412.0229,250
2015,GB,20412,484,2752,4933,14653,4062,United Kingdom,5.3000002,2.400000095367432,631452.0,39970.0,64853393.0,2986526.0,2432666.0,0.061964571,0.42657501,0.22023705,61.631317,973.66071,5419192.0,8356.0654,3751.0234,826
2015,HU,471,7,24,25,341,136,Hungary,6.5999999,3.700000047683716,58344.0,174435.0,9855571.0,80758.0,64821.0,0.10871241,0.4845798,0.19352351,1769.9127,591.99005,145579.0,1477.1239,657.70923,348
2015,IT,3014,24,99,114,1950,1073,Italy,11.9,0.800000011920929,280078.0,82790.0,60795612.0,1491865.0,3521825.0,0.36213416,0.66782117,0.14364275,136.1776,460.68787,5013690.0,8246.7959,5792.8936,380
2015,NL,1404,14,46,97,932,435,Netherlands,6.9000001,2.0,166872.0,43035.0,16900726.0,430934.0,338773.0,0.20544337,0.36184624,0.23328735,254.63403,987.36584,769707.0,4554.2837,2004.4879,528
