Unnamed: 0,year,country_code,valuenormal,valueoffensive,valuehate,valueNegative,valueNeutral,valuePositive,country,total_unemployment,real_gdp_r,immigration_flow,asylum_applications,total_population,EU_migrant_stock,NonEU_migrant_stock,share_offensive,share_negative,share_positive,asyl_per100k,immigrationflow_per100k,total_migrant_stock,migrant_stock_per100k,nonEU_stock_per100k,iso3n,share_normal,share_hate,share_neutral,lt_unemployment,income,youth_unemployment
0,2013,AT,313,4,22,22,186,131,Austria,5.6999998,0.0,101866.0,,8451860.0,,,0.0117994100294985,0.0648967551622418,0.3864306784660767,,1205.2495,,,,40,0.9233038348082596,0.0648967551622418,0.5486725663716814,1.3,21200.0,10.3
1,2013,CH,581,5,21,45,405,157,Switzerland,4.8000002,1.799999952316284,160157.0,19440.0,8039060.0,,,0.0082372322899505,0.0741350906095551,0.2586490939044481,241.81932,1992.2354,,,,756,0.957166392092257,0.0345963756177924,0.6672158154859967,1.5,,8.7
2,2013,DE,1628,18,76,166,1134,422,Germany,5.1999998,0.4000000059604645,692713.0,109580.0,80523746.0,,,0.0104529616724738,0.0963995354239256,0.2450638792102207,136.08408,860.25928,,,,276,0.9454123112659698,0.0441347270615563,0.6585365853658537,2.4,19800.0,7.8
3,2013,ES,1135,15,77,139,737,351,Spain,26.1,-1.399999976158142,280772.0,4290.0,46727890.0,,,0.0122249388753056,0.1132844335778321,0.2860635696821516,9.1808128,600.86597,,,,724,0.9250203748981256,0.0627546862265688,0.6006519967400163,13.0,13200.0,55.5
4,2013,FR,1676,8,71,127,1046,582,France,10.3,0.6000000238418579,338752.0,60475.0,65600350.0,,,0.0045584045584045,0.0723646723646723,0.3316239316239316,92.187012,516.38751,,,,250,0.954985754985755,0.0404558404558404,0.596011396011396,4.4,18500.0,26.4
5,2013,GB,15256,405,2521,3793,10093,4296,United Kingdom,7.5,2.200000047683716,526046.0,29875.0,63905342.0,,,0.0222747772522274,0.2086129138708612,0.2362776372236277,46.748829,823.16437,,,,826,0.8390716092839071,0.1386536134638653,0.555109448905511,2.8,26504.0,20.9
6,2013,HU,139,2,8,9,93,47,Hungary,9.8000002,1.799999952316284,38968.0,18570.0,9908798.0,,,0.0134228187919463,0.0604026845637583,0.3154362416107382,187.40921,393.26666,,,,348,0.9328859060402684,0.0536912751677852,0.6241610738255033,5.0,5600.0,26.1
7,2013,IT,2801,29,133,374,1907,682,Italy,12.2,-1.799999952316284,307454.0,25720.0,59685227.0,,,0.0097873776577792,0.1262234222072224,0.2301721228484644,43.092739,515.12579,,,,380,0.9453256834289572,0.0448869389132635,0.6436044549443132,7.0,16600.0,40.0
8,2013,NL,1047,13,41,96,701,304,Netherlands,7.3000002,-0.1000000014901161,129428.0,9840.0,16779575.0,,,0.0118074477747502,0.0871934604904632,0.2761126248864669,58.642723,771.34253,,,,528,0.9509536784741144,0.0372388737511353,0.6366939146230699,2.5,17800.0,13.2
9,2013,PL,213,5,8,14,155,57,Poland,10.3,1.100000023841858,220311.0,13975.0,38062535.0,,,0.0221238938053097,0.0619469026548672,0.252212389380531,36.715893,578.81323,,,,616,0.9424778761061948,0.0353982300884955,0.6858407079646017,4.4,6100.0,27.3
10,2013,SE,572,9,29,75,383,152,Sweden,8.1000004,1.200000047683716,115845.0,49355.0,9555893.0,,,0.0147540983606557,0.1229508196721311,0.2491803278688524,516.48755,1212.2886,,,,752,0.9377049180327868,0.0475409836065573,0.6278688524590164,1.5,22400.0,23.5
11,2014,AT,559,5,22,43,301,242,Austria,6.0,0.699999988079071,116262.0,25700.0,8507786.0,518670.0,539292.0,0.0085324232081911,0.0733788395904436,0.4129692832764505,302.07623,1366.5365,1057962.0,12435.221,6338.8052,40,0.953924914675768,0.0375426621160409,0.5136518771331058,1.6,21500.0,11.0
12,2014,CH,1381,10,45,132,972,332,Switzerland,4.9000001,2.400000095367432,156282.0,22130.0,8139631.0,1272880.0,663337.0,0.0069637883008356,0.0919220055710306,0.2311977715877437,271.87964,1920.0133,1936217.0,23787.527,8149.4727,756,0.961699164345404,0.0313370473537604,0.6768802228412256,1.8,,8.6
13,2014,DE,2238,34,112,239,1449,696,Germany,5.0,2.200000047683716,884893.0,173070.0,80767463.0,3179670.0,3826401.0,0.0142617449664429,0.100251677852349,0.2919463087248322,214.28183,1095.6058,7006071.0,8674.373,4737.5527,276,0.9387583892617448,0.046979865771812,0.6078020134228188,2.2,20100.0,7.7
14,2014,ES,2151,38,112,219,1379,703,Spain,24.5,1.399999976158142,305454.0,5460.0,46512199.0,1991093.0,2685348.0,0.0165145588874402,0.0951760104302477,0.3055193394176445,11.738856,656.71802,4676441.0,10054.225,5773.4272,724,0.9348109517601044,0.0486744893524554,0.5993046501521078,13.0,13300.0,53.2
15,2014,FR,2888,22,124,284,1723,1027,France,10.3,1.0,340383.0,58845.0,66165980.0,1466185.0,2761041.0,0.007251153592617,0.0936058009228741,0.3384970336189848,88.935432,514.43811,4227226.0,6388.8208,4172.9014,250,0.951878707976269,0.040870138431114,0.5678971654581411,4.6,18700.0,25.7
16,2014,GB,31754,763,4945,8752,21318,7392,United Kingdom,6.0999999,2.900000095367432,631991.0,32345.0,64351203.0,2624313.0,2425088.0,0.0203673055362767,0.2336234050504511,0.197319950883562,50.263241,982.09662,5049401.0,7846.6304,3768.52,826,0.8476322673642624,0.1320004270994607,0.5690566440659869,2.2,27747.0,17.1
