year,country_code,lt_unemployment
2003,BE,3.6
2003,BG,9.3
2003,CZ,3.7
2003,DK,1.1
2003,DE,4.9
2003,EE,4.8
2003,IE,1.6
2003,EL,5.4
2003,ES,3.8
2003,FR,3.2
2003,HR,8.5
2003,IT,5.2
2003,CY,1.0
2003,LV,5.8
2003,LT,5.8
2003,LU,0.9
2003,HU,2.4
2003,MT,2.6
2003,NL,1.0
2003,AT,1.1
2003,PL,10.8
2003,PT,2.1
2003,RO,4.5
2003,SI,3.7
2003,SK,11.4
2003,FI,2.2
2003,SE,0.9
2003,NO,0.5
2003,CH,1.0
2003,GB,1.1
2004,BE,3.7
2004,BG,7.0
2004,CZ,4.2
2004,DK,1.2
2004,DE,5.5
2004,EE,5.5
2004,IE,1.5
2004,EL,5.7
2004,ES,3.6
2004,FR,3.6
2004,HR,7.6
2004,IT,3.8
2004,CY,1.2
2004,LV,5.0
2004,LT,5.7
2004,LU,1.1
2004,HU,2.6
2004,MT,3.6
2004,NL,1.5
2004,AT,1.6
2004,PL,10.4
2004,PT,2.9
2004,RO,4.8
2004,SI,3.3
2004,SK,11.9
2004,FI,2.2
2004,SE,1.2
2004,NO,0.9
2004,CH,1.4
2004,GB,1.0
2005,BE,4.4
2005,BG,6.1
2005,CZ,4.2
2005,DK,1.1
2005,DE,5.9
2005,EE,4.5
2005,IE,1.5
2005,EL,5.3
2005,ES,2.2
2005,FR,3.6
2005,HR,7.6
2005,IT,3.8
2005,CY,1.3
2005,LV,4.5
2005,LT,4.5
2005,LU,1.2
2005,HU,3.2
2005,MT,3.4
2005,NL,2.3
2005,AT,1.4
2005,PL,10.4
2005,PT,3.9
2005,RO,4.2
2005,SI,3.2
2005,SK,11.7
2005,FI,2.2
2005,NO,0.8
2005,CH,1.6
2005,GB,1.0
2006,BE,4.2
2006,BG,5.0
2006,CZ,3.9
2006,DK,0.8
2006,DE,5.8
2006,EE,2.9
2006,IE,1.4
2006,EL,4.9
2006,ES,1.8
2006,FR,3.7
2006,HR,6.9
2006,IT,3.3
2006,CY,0.9
2006,LV,2.5
2006,LT,2.6
2006,LU,1.4
2006,HU,3.4
2006,MT,2.7
2006,NL,2.1
2006,AT,1.5
2006,PL,7.9
2006,PT,4.1
2006,RO,4.3
2006,SI,3.0
2006,SK,10.2
2006,FI,1.9
2006,NO,0.8
2006,CH,1.5
2006,GB,1.2
2006,MK,30.4
2006,TR,2.7
2007,BE,3.8
2007,BG,4.1
2007,CZ,2.8
2007,DK,0.6
2007,DE,4.9
2007,EE,2.3
2007,IE,1.4
2007,EL,4.2
2007,ES,1.7
2007,FR,3.4
2007,HR,6.1
2007,IT,2.9
2007,CY,0.7
2007,LV,1.7
2007,LT,1.4
2007,LU,1.2
2007,HU,3.5
2007,MT,2.7
2007,NL,1.6
2007,AT,1.3
2007,PL,5.0
2007,PT,4.0
2007,RO,3.4
2007,SI,2.3
2007,SK,8.3
2007,FI,1.6
2007,SE,0.9
2007,NO,0.4
2007,CH,1.4
2007,GB,1.3
2007,MK,29.9
2007,TR,2.4
2008,BE,3.3
2008,BG,2.9
2008,CZ,2.2
2008,DK,0.5
2008,DE,4.0
2008,EE,1.7
2008,IE,1.7
2008,EL,3.7
2008,ES,2.0
2008,FR,3.0
2008,HR,5.4
2008,IT,3.1
2008,CY,0.5
2008,LV,1.9
2008,LT,1.3
2008,LU,1.6
2008,HU,3.6
2008,MT,2.6
2008,NL,1.2
2008,AT,1.0
2008,PL,2.4
2008,PT,3.8
2008,RO,2.5
2008,SI,1.9
2008,SK,6.6
2008,FI,1.2
2008,SE,0.8
2008,NO,0.3
