year,country_code,real_gdp_r
2013,AT,0.0
2013,CH,1.799999952316284
2013,DE,0.4000000059604645
2013,ES,-1.399999976158142
2013,FR,0.6000000238418579
2013,GB,2.200000047683716
2013,HU,1.799999952316284
2013,IT,-1.799999952316284
2013,NL,-0.1000000014901161
2013,PL,1.100000023841858
2013,SE,1.200000047683716
2014,AT,0.699999988079071
2014,CH,2.400000095367432
2014,DE,2.200000047683716
2014,ES,1.399999976158142
2014,FR,1.0
2014,GB,2.900000095367432
2014,HU,4.199999809265137
2014,IT,0.0
2014,NL,1.399999976158142
2014,PL,3.400000095367432
2014,SE,2.700000047683716
2015,AT,1.0
2015,CH,1.700000047683716
2015,DE,1.5
2015,ES,3.799999952316284
2015,FR,1.100000023841858
2015,GB,2.400000095367432
2015,HU,3.700000047683716
2015,IT,0.800000011920929
2015,NL,2.0
2015,PL,4.199999809265137
2015,SE,4.5
2016,AT,2.0
2016,CH,2.0
2016,DE,2.200000047683716
2016,ES,3.0
2016,FR,1.100000023841858
2016,GB,1.700000047683716
2016,HU,2.200000047683716
2016,IT,1.299999952316284
2016,NL,2.200000047683716
2016,PL,3.099999904632568
2016,SE,2.099999904632568
2017,AT,2.299999952316284
2017,CH,1.600000023841858
2017,DE,2.700000047683716
2017,ES,3.0
2017,FR,2.299999952316284
2017,GB,1.700000047683716
2017,HU,4.300000190734863
2017,IT,1.700000047683716
2017,NL,2.900000095367432
2017,PL,4.800000190734863
2017,SE,2.599999904632568
2018,AT,2.5
2018,CH,2.900000095367432
2018,DE,1.100000023841858
2018,ES,2.299999952316284
2018,FR,1.899999976158142
2018,GB,1.299999952316284
2018,HU,5.400000095367432
2018,IT,0.8999999761581421
2018,NL,2.400000095367432
2018,PL,5.400000095367432
2018,SE,2.0
2019,AT,1.5
2019,CH,1.200000047683716
2019,DE,1.100000023841858
2019,ES,2.099999904632568
2019,FR,1.799999952316284
2019,GB,1.399999976158142
2019,HU,4.599999904632568
2019,IT,0.4000000059604645
2019,NL,2.0
2019,PL,4.699999809265137
2019,SE,2.0
2020,AT,-6.699999809265137
2020,CH,-2.400000095367432
2020,DE,-4.599999904632568
2020,ES,-10.80000019073486
2020,FR,-7.900000095367432
2020,GB,-0.9700000286102296
2020,HU,-4.699999809265137
2020,IT,-8.899999618530273
2020,NL,-3.799999952316284
2020,PL,-2.5
2020,SE,-2.900000095367432
